EmpID,Age,AgeGroup,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,Attrition
RM1461,29,26-35,Female,"Research & Development","Research Scientist",3785,5,1,1,3,No,No
RM033,30,26-35,Male,"Research & Development","Laboratory Technician",2206,10,3,3,3,No,No
RM045,30,26-35,Female,"Research & Development","Laboratory Technician",4011,12,4,3,4,No,No
RM081,30,26-35,Male,"Research & Development","Laboratory Technician",5126,10,4,2,3,Yes,No
RM089,30,26-35,Male,"Research & Development","Healthcare Representative",4152,11,4,3,3,No,No
RM093,30,26-35,Female,Sales,"Sales Executive",5209,11,2,2,3,Yes,No
RM121,30,26-35,Male,"Research & Development","Research Scientist",2613,10,3,2,4,No,No
RM168,30,26-35,Female,Sales,"Sales Executive",9419,10,4,3,3,No,No
RM174,30,26-35,Male,"Research & Development","Laboratory Technician",3072,12,1,3,3,No,No
RM212,30,26-35,Male,"Research & Development","Manufacturing Director",8474,11,3,3,4,No,No
RM215,30,26-35,Female,"Research & Development","Research Scientist",2657,5,1,3,3,Yes,Yes
RM217,30,26-35,Female,Sales,"Sales Executive",6696,6,1,2,3,No,Yes
RM325,30,26-35,Female,"Research & Development","Research Scientist",5775,10,4,3,3,No,No
RM339,30,26-35,Female,Sales,"Sales Executive",6118,10,3,3,3,No,No
RM355,30,26-35,Female,Sales,"Sales Executive",4736,2,3,4,3,Yes,No
RM382,30,26-35,Male,Sales,"Sales Representative",2476,1,2,3,3,No,No
RM386,30,26-35,Male,"Research & Development","Research Scientist",2285,1,4,3,4,Yes,Yes
RM403,30,26-35,Female,Sales,"Sales Executive",6577,5,3,3,3,No,No
RM411,30,26-35,Female,"Research & Development","Manufacturing Director",6091,5,4,3,4,No,No
RM420,30,26-35,Male,"Research & Development","Laboratory Technician",2097,5,4,1,3,No,No
RM424,30,26-35,Female,Sales,"Sales Executive",8412,9,1,3,3,No,No
RM427,30,26-35,Female,"Research & Development","Laboratory Technician",2564,11,4,2,3,No,No
RM438,30,26-35,Male,Sales,"Sales Representative",2983,3,2,3,3,No,No
RM481,30,26-35,Male,Sales,"Sales Representative",2033,1,1,4,3,No,Yes
RM502,30,26-35,Female,"Research & Development","Research Scientist",2083,1,3,3,4,No,No
RM546,30,26-35,Male,Sales,"Sales Executive",5304,8,4,2,4,No,No
RM582,30,26-35,Male,"Research & Development","Laboratory Technician",3833,2,3,3,4,No,No
RM603,30,26-35,Female,"Research & Development","Manufacturing Director",6877,0,4,2,4,Yes,No
RM624,30,26-35,Male,"Research & Development","Research Scientist",3761,5,4,2,3,No,No
RM703,30,26-35,Male,Sales,"Sales Executive",7264,8,3,4,3,No,No
RM721,30,26-35,Female,"Research & Development","Research Scientist",2132,5,3,3,3,Yes,Yes
RM731,30,26-35,Female,"Research & Development","Research Director",11416,8,1,2,3,Yes,No
RM733,30,26-35,Female,"Research & Development","Laboratory Technician",2422,3,2,3,3,No,Yes
RM783,30,26-35,Male,"Research & Development","Manufacturing Director",9957,6,1,2,3,No,No
RM845,30,26-35,Male,Sales,"Sales Executive",6578,10,3,3,3,No,No
RM866,30,26-35,Male,Sales,"Sales Executive",4115,4,1,3,3,No,No
RM875,30,26-35,Male,"Research & Development","Laboratory Technician",3491,10,3,2,3,No,No
RM887,30,26-35,Male,"Research & Development","Research Scientist",3579,11,2,3,4,Yes,No
RM932,30,26-35,Female,"Research & Development","Manufacturing Director",4695,8,3,3,3,Yes,No
RM942,30,26-35,Female,"Research & Development","Laboratory Technician",4627,9,4,3,3,No,No
RM949,30,26-35,Female,"Research & Development",Manager,11916,9,1,3,4,Yes,No
RM1014,30,26-35,Female,Sales,"Sales Executive",4779,3,1,3,3,No,No
RM1050,30,26-35,Male,Sales,"Sales Executive",5301,2,3,2,3,No,No
RM1053,30,26-35,Male,"Research & Development","Research Scientist",1274,1,3,2,3,No,No
RM1065,30,26-35,Male,"Human Resources","Human Resources",2064,5,3,4,4,No,No
RM1107,30,26-35,Male,Sales,"Sales Executive",9714,10,1,3,3,No,Yes
RM1110,30,26-35,Male,Sales,"Sales Executive",9250,4,2,3,3,No,No
RM1142,30,26-35,Male,"Research & Development","Research Scientist",2141,6,2,2,3,No,No
RM1234,30,26-35,Male,"Research & Development","Research Scientist",2862,10,4,2,3,No,No
RM1245,30,26-35,Female,"Research & Development","Research Scientist",4968,9,1,3,3,No,No
RM1247,30,26-35,Female,"Human Resources","Human Resources",2180,4,4,2,3,No,Yes
RM1252,30,26-35,Male,Sales,"Sales Executive",7140,7,1,3,3,No,No
RM1260,30,26-35,Male,"Research & Development","Healthcare Representative",5294,7,3,3,3,No,No
RM1297,30,26-35,Female,"Research & Development","Manufacturing Director",9667,7,3,3,3,No,No
RM1339,30,26-35,Male,Sales,"Sales Representative",1081,1,4,2,3,No,Yes
RM1413,30,26-35,Male,"Research & Development","Laboratory Technician",3748,12,2,2,3,No,No
RM013,31,26-35,Male,"Research & Development","Research Scientist",2911,5,3,2,3,No,No
RM059,31,26-35,Male,"Research & Development","Laboratory Technician",5915,7,4,2,4,No,No
RM125,31,26-35,Male,Sales,"Sales Executive",6172,7,3,2,3,Yes,Yes
RM133,31,26-35,Female,Sales,"Sales Executive",4559,2,3,3,3,Yes,Yes
RM181,31,26-35,Female,"Research & Development","Research Scientist",3929,4,4,3,4,Yes,No
RM225,31,26-35,Male,"Research & Development","Manufacturing Director",4345,5,3,3,3,No,No
RM246,31,26-35,Male,"Research & Development","Research Director",13675,2,3,3,3,No,No
RM260,31,26-35,Male,"Research & Development","Laboratory Technician",3479,5,2,4,3,No,Yes
RM267,31,26-35,Male,"Research & Development","Healthcare Representative",5582,9,4,3,4,No,No
RM293,31,26-35,Female,Sales,"Sales Representative",2789,2,2,2,3,No,No
RM304,31,26-35,Male,Sales,"Sales Executive",6929,8,4,2,3,No,No
RM310,31,26-35,Male,"Research & Development","Research Scientist",4821,5,4,3,3,Yes,No
RM311,31,26-35,Male,"Human Resources","Human Resources",6410,2,1,3,3,No,No
RM313,31,26-35,Male,"Research & Development","Research Scientist",2695,2,4,1,3,Yes,No
RM322,31,26-35,Male,Sales,"Sales Executive",7547,7,4,3,3,No,No
RM326,31,26-35,Female,"Research & Development","Manufacturing Director",8943,10,3,3,4,No,No
RM343,31,26-35,Female,"Research & Development","Manufacturing Director",7143,11,4,2,3,Yes,No
RM370,31,26-35,Male,"Research & Development","Research Scientist",2657,2,2,3,3,Yes,No
RM395,31,26-35,Female,"Research & Development","Manufacturing Director",4306,13,1,1,3,No,No
RM400,31,26-35,Male,"Research & Development","Laboratory Technician",2218,4,1,3,3,No,No
RM435,31,26-35,Male,"Research & Development","Manufacturing Director",10648,13,2,4,4,No,No
RM440,31,26-35,Male,"Research & Development","Healthcare Representative",9824,1,3,3,3,No,Yes
RM451,31,26-35,Male,Sales,"Sales Executive",6582,6,4,4,3,Yes,No
RM457,31,26-35,Male,Sales,Manager,11557,5,4,2,4,No,No
RM483,31,26-35,Male,Sales,"Sales Executive",4233,3,1,1,3,No,Yes
RM485,31,26-35,Male,Sales,"Sales Executive",5460,7,4,4,4,No,No
RM645,31,26-35,Male,"Research & Development","Research Scientist",2356,6,4,3,3,Yes,No
RM676,31,26-35,Male,Sales,"Sales Representative",2329,7,3,4,3,No,No
RM680,31,26-35,Female,Sales,"Sales Executive",6932,9,3,2,3,No,No
RM691,31,26-35,Female,"Research & Development","Healthcare Representative",5855,9,4,1,3,Yes,No
RM710,31,26-35,Male,"Research & Development","Research Scientist",2321,3,1,3,4,Yes,Yes
RM727,31,26-35,Female,"Research & Development","Manufacturing Director",4148,4,1,3,3,No,No
RM819,31,26-35,Male,Sales,"Sales Representative",2791,2,4,3,3,No,No
RM832,31,26-35,Male,"Research & Development","Laboratory Technician",2610,2,3,2,3,No,Yes
RM896,31,26-35,Male,"Research & Development","Healthcare Representative",6833,6,1,2,3,Yes,No
RM897,31,26-35,Female,"Research & Development","Healthcare Representative",6812,10,1,3,3,No,No
RM951,31,26-35,Female,Sales,"Sales Executive",9852,10,3,2,3,Yes,No
RM953,31,26-35,Female,Sales,"Sales Representative",2302,3,2,4,3,Yes,Yes
RM981,31,26-35,Female,Sales,"Sales Representative",2785,1,4,4,3,No,Yes
RM986,31,26-35,Male,"Research & Development","Manufacturing Director",6179,10,3,2,3,Yes,Yes
RM1013,31,26-35,Female,Sales,"Sales Representative",1359,1,3,3,3,No,Yes
RM1015,31,26-35,Female,"Research & Development","Research Director",16422,3,2,4,3,No,No
RM1017,31,26-35,Female,"Research & Development","Research Scientist",1261,1,2,4,3,No,Yes
RM1031,31,26-35,Male,Sales,"Sales Executive",10793,13,4,3,3,No,No
RM1034,31,26-35,Female,"Research & Development","Manufacturing Director",7446,10,2,3,3,No,Yes
RM1036,31,26-35,Female,"Human Resources","Human Resources",2109,3,2,3,3,No,No
RM1037,31,26-35,Male,"Research & Development","Laboratory Technician",3722,2,4,1,3,Yes,Yes
RM1086,31,26-35,Female,"Research & Development","Research Scientist",4084,7,3,1,3,No,Yes
RM1145,31,26-35,Male,Sales,"Sales Executive",5332,5,1,3,3,No,No
RM1192,31,26-35,Female,Sales,"Sales Executive",5476,10,4,3,3,No,No
RM1228,31,26-35,Male,"Research & Development","Laboratory Technician",3477,5,3,4,3,No,No
RM1240,31,26-35,Female,"Research & Development","Manufacturing Director",5238,5,4,2,4,No,No
RM1248,31,26-35,Male,Sales,"Sales Executive",8346,5,3,3,3,No,No
RM1258,31,26-35,Male,Sales,"Sales Executive",8161,1,3,3,3,No,Yes
RM1275,31,26-35,Female,Sales,"Sales Executive",5468,12,4,3,3,No,No
RM1307,31,26-35,Female,Sales,"Sales Executive",9637,3,1,3,3,No,No
RM1313,31,26-35,Male,"Human Resources","Human Resources",2956,1,1,3,3,No,Yes
RM1342,31,26-35,Male,"Research & Development","Laboratory Technician",4197,10,3,3,3,No,No
RM1359,31,26-35,Female,Sales,"Sales Executive",6583,5,4,3,3,Yes,No
RM1361,31,26-35,Female,"Research & Development","Laboratory Technician",3978,2,3,2,3,No,No
RM1383,31,26-35,Male,"Research & Development","Research Scientist",3065,4,1,4,3,Yes,No
RM1390,31,26-35,Male,"Research & Development","Research Scientist",5003,10,1,3,4,No,No
RM1396,31,26-35,Male,Sales,"Sales Executive",5617,10,4,3,3,Yes,Yes
RM1403,31,26-35,Female,"Research & Development","Laboratory Technician",1129,1,4,3,3,Yes,No
RM1406,31,26-35,Female,"Research & Development","Research Director",11031,11,3,4,4,No,No
RM1418,31,26-35,Male,Sales,"Sales Representative",3067,2,3,3,3,No,No
RM1464,31,26-35,Male,"Research & Development","Manufacturing Director",9936,9,1,3,3,No,No
RM1464,31,26-35,Male,"Research & Development","Manufacturing Director",9936,9,1,3,3,No,No
RM006,32,26-35,Male,"Research & Development","Laboratory Technician",3068,7,4,2,3,No,No
RM017,32,26-35,Male,"Research & Development","Research Scientist",3298,6,2,2,3,Yes,No
RM061,32,26-35,Male,"Research & Development","Manufacturing Director",6162,9,4,3,4,Yes,No
RM095,32,26-35,Male,Sales,"Sales Executive",5010,11,3,3,3,No,No
RM102,32,26-35,Male,"Research & Development","Research Scientist",2956,1,1,3,3,No,No
RM155,32,26-35,Female,Sales,"Sales Executive",8998,9,4,3,3,No,No
RM170,32,26-35,Male,"Research & Development","Research Scientist",3038,5,3,3,4,No,No
RM239,32,26-35,Female,Sales,"Sales Representative",3931,4,2,3,3,No,No
RM240,32,26-35,Male,"Research & Development","Laboratory Technician",3730,3,3,1,3,Yes,Yes
RM242,32,26-35,Male,Sales,"Sales Executive",4465,3,4,3,3,No,No
RM261,32,26-35,Male,"Research & Development","Laboratory Technician",2794,5,2,1,4,No,No
RM263,32,26-35,Male,"Research & Development","Laboratory Technician",2176,6,1,3,3,No,No
RM307,32,26-35,Male,Sales,"Sales Executive",5484,13,3,2,3,No,No
RM320,32,26-35,Female,Sales,"Sales Executive",5228,13,2,3,3,Yes,No
RM323,32,26-35,Female,"Research & Development","Research Scientist",5055,7,4,2,3,No,No
RM352,32,26-35,Female,"Research & Development","Laboratory Technician",2370,8,2,3,3,No,No
RM470,32,26-35,Male,Sales,"Sales Executive",4707,4,3,3,3,No,Yes
RM501,32,26-35,Female,"Research & Development","Research Scientist",6322,6,4,2,3,Yes,No
RM528,32,26-35,Male,Sales,"Sales Executive",5396,10,4,2,3,No,No
RM532,32,26-35,Female,"Research & Development","Research Director",11159,7,4,3,3,No,No
RM559,32,26-35,Male,"Research & Development","Laboratory Technician",5309,10,4,3,3,No,No
RM601,32,26-35,Female,"Research & Development","Manufacturing Director",6162,14,3,3,3,No,No
RM623,32,26-35,Male,Sales,"Sales Executive",4403,5,4,2,3,No,No
RM627,32,26-35,Female,"Research & Development","Research Scientist",5175,5,3,2,3,No,No
RM638,32,26-35,Male,"Research & Development","Laboratory Technician",2314,3,4,3,3,No,No
RM642,32,26-35,Male,Sales,"Sales Executive",6524,10,2,3,3,No,No
RM657,32,26-35,Male,"Research & Development","Laboratory Technician",2795,1,4,1,4,Yes,Yes
RM683,32,26-35,Female,"Research & Development","Laboratory Technician",2332,3,2,3,4,No,No
RM693,32,26-35,Female,"Research & Development","Manufacturing Director",6725,8,1,4,3,No,No
RM757,32,26-35,Female,"Research & Development","Laboratory Technician",4025,8,3,3,3,No,No
RM851,32,26-35,Female,Sales,"Sales Representative",2827,1,1,3,3,No,No
RM881,32,26-35,Female,"Research & Development","Laboratory Technician",2743,2,2,3,4,No,No
RM882,32,26-35,Female,"Research & Development","Research Scientist",4998,8,3,3,3,Yes,No
RM936,32,26-35,Male,Sales,"Sales Executive",6209,10,4,4,3,No,No
RM940,32,26-35,Male,"Research & Development","Laboratory Technician",4883,10,3,3,3,No,Yes
RM992,32,26-35,Male,Sales,"Sales Executive",4078,3,2,2,3,Yes,No
RM1027,32,26-35,Male,Sales,"Sales Executive",9204,4,4,2,3,No,No
RM1076,32,26-35,Male,"Research & Development",Manager,11244,5,4,4,4,No,No
RM1102,32,26-35,Female,"Research & Development","Research Scientist",5878,7,2,3,3,No,No
RM1114,32,26-35,Male,"Research & Development","Research Scientist",4087,6,1,2,3,No,No
RM1140,32,26-35,Female,"Research & Development","Research Scientist",3312,3,4,3,3,No,No
RM1191,32,26-35,Male,"Research & Development","Research Scientist",5470,9,2,2,3,No,No
RM1206,32,26-35,Male,"Research & Development","Laboratory Technician",1393,1,2,3,3,No,Yes
RM1227,32,26-35,Male,"Research & Development","Research Scientist",3433,5,3,2,3,No,No
RM1238,32,26-35,Male,Sales,"Sales Executive",6735,0,2,3,3,No,Yes
RM1242,32,26-35,Male,Sales,"Sales Executive",9610,4,3,1,3,No,No
RM1261,32,26-35,Male,"Research & Development","Research Scientist",2718,7,2,3,3,No,No
RM1320,32,26-35,Male,Sales,"Sales Executive",4648,0,4,4,3,No,No
RM1327,32,26-35,Male,Sales,"Sales Executive",9907,2,2,2,3,Yes,Yes
RM1376,32,26-35,Female,"Research & Development","Research Scientist",2432,4,3,3,3,Yes,Yes
RM1389,32,26-35,Female,"Research & Development","Healthcare Representative",6667,5,4,3,3,No,No
RM1395,32,26-35,Male,"Research & Development","Manufacturing Director",9679,1,4,3,4,No,No
RM1427,32,26-35,Female,"Research & Development","Laboratory Technician",2837,6,2,3,3,No,No
RM1429,32,26-35,Male,Sales,"Sales Representative",2269,2,2,3,3,No,No
RM1432,32,26-35,Female,Sales,"Sales Executive",10422,14,4,3,3,No,No
RM1450,32,26-35,Male,"Research & Development","Research Scientist",2439,4,1,3,3,No,No
RM004,33,26-35,Female,"Research & Development","Research Scientist",2909,8,3,3,3,Yes,No
RM040,33,26-35,Female,Sales,"Sales Executive",5376,5,1,3,3,No,No
RM056,33,26-35,Female,"Research & Development","Research Director",13458,15,4,3,3,Yes,No
RM122,33,26-35,Male,Sales,"Sales Executive",6146,7,2,4,3,No,No
RM177,33,26-35,Male,"Research & Development","Research Scientist",2500,3,4,4,3,No,No
RM186,33,26-35,Female,"Research & Development","Research Scientist",2756,8,2,3,3,No,No
RM222,33,26-35,Female,"Research & Development","Research Scientist",2622,3,2,3,4,No,No
RM235,33,26-35,Male,"Research & Development","Laboratory Technician",2436,5,4,1,3,Yes,Yes
RM237,33,26-35,Female,"Research & Development","Laboratory Technician",2707,9,1,4,4,No,Yes
RM247,33,26-35,Female,"Research & Development","Research Scientist",2911,2,4,2,3,No,No
RM314,33,26-35,Female,"Research & Development",Manager,11878,10,2,3,3,No,No
RM329,33,26-35,Male,Sales,"Sales Executive",4682,7,4,2,3,No,No
RM364,33,26-35,Female,Sales,"Sales Representative",2851,1,3,3,3,Yes,Yes
RM436,33,26-35,Male,"Research & Development",Manager,13610,7,3,4,3,Yes,Yes
RM437,33,26-35,Male,"Research & Development","Laboratory Technician",3408,4,4,3,3,No,Yes
RM456,33,26-35,Female,"Research & Development","Research Director",16184,6,3,3,3,No,No
RM500,33,26-35,Male,Sales,"Sales Executive",7104,5,3,3,3,No,No
RM510,33,26-35,Male,"Research & Development","Healthcare Representative",7725,13,4,1,4,No,No
RM515,33,26-35,Male,"Research & Development","Research Scientist",3348,10,1,3,3,Yes,Yes
RM563,33,26-35,Male,"Research & Development","Research Scientist",2686,10,4,2,3,Yes,Yes
RM591,33,26-35,Male,"Research & Development","Research Director",11691,13,3,4,3,No,No
RM592,33,26-35,Female,Sales,"Sales Executive",5324,3,1,3,3,No,Yes
RM620,33,26-35,Male,Sales,"Sales Executive",4037,9,1,3,4,No,No
RM656,33,26-35,Male,"Human Resources","Human Resources",2277,4,2,4,3,Yes,No
RM674,33,26-35,Male,"Research & Development","Research Scientist",2799,3,1,3,3,Yes,No
RM695,33,26-35,Female,"Research & Development","Healthcare Representative",6949,5,4,3,3,No,No
RM711,33,26-35,Male,Sales,Manager,17444,10,3,3,3,No,No
RM713,33,26-35,Female,"Research & Development","Research Scientist",3452,3,4,3,3,No,No
RM716,33,26-35,Female,"Research & Development","Healthcare Representative",5488,6,2,3,3,Yes,No
RM755,33,26-35,Female,Sales,"Sales Representative",2342,2,4,2,3,No,No
RM791,33,26-35,Male,"Research & Development","Healthcare Representative",7119,3,4,3,3,No,No
RM793,33,26-35,Female,"Research & Development","Research Scientist",4508,13,3,3,4,No,Yes
RM799,33,26-35,Male,"Research & Development","Research Scientist",2313,2,2,3,4,Yes,Yes
RM803,33,26-35,Female,Sales,"Sales Executive",4302,3,2,3,3,No,No
RM830,33,26-35,Female,Sales,"Sales Executive",8224,5,1,3,3,Yes,Yes
RM864,33,26-35,Male,"Human Resources","Human Resources",3600,5,3,3,3,No,No
RM873,33,26-35,Female,Sales,"Sales Executive",4539,10,3,2,3,No,No
RM884,33,26-35,Male,"Research & Development","Research Scientist",2781,14,4,3,3,No,No
RM909,33,26-35,Male,Sales,"Sales Executive",8380,9,3,3,3,Yes,No
RM991,33,26-35,Male,Sales,"Sales Executive",9998,5,4,4,3,No,No
RM1048,33,26-35,Male,Sales,"Sales Executive",4373,4,1,3,3,No,No
RM1067,33,26-35,Female,"Research & Development","Laboratory Technician",3838,5,2,3,3,No,No
RM1075,33,26-35,Male,"Research & Development","Healthcare Representative",6388,0,3,3,3,Yes,No
RM1092,33,26-35,Male,"Research & Development","Manufacturing Director",4320,5,2,3,3,No,No
RM1096,33,26-35,Male,"Research & Development","Laboratory Technician",5207,15,3,3,3,Yes,No
RM1106,33,26-35,Male,Sales,"Sales Executive",6392,2,1,1,3,No,No
RM1190,33,26-35,Male,Sales,"Sales Executive",5505,6,4,3,3,No,No
RM1199,33,26-35,Female,Sales,"Sales Executive",5368,6,4,3,4,Yes,No
RM1211,33,26-35,Male,"Research & Development","Laboratory Technician",2028,14,2,3,3,No,No
RM1254,33,26-35,Female,Sales,"Sales Executive",5147,11,2,2,3,No,No
RM1256,33,26-35,Female,Sales,"Sales Executive",8564,0,1,2,4,Yes,Yes
RM1266,33,26-35,Male,"Research & Development","Research Scientist",3055,9,2,2,3,No,No
RM1283,33,26-35,Male,"Research & Development","Research Scientist",3143,10,1,3,3,No,No
RM1364,33,26-35,Male,Sales,"Sales Executive",5487,10,3,2,3,No,No
RM1399,33,26-35,Male,"Research & Development","Healthcare Representative",5968,9,3,3,4,No,No
RM1416,33,26-35,Male,"Research & Development","Laboratory Technician",2008,1,3,2,3,No,No
RM1426,33,26-35,Female,"Research & Development","Healthcare Representative",4878,9,4,3,3,Yes,No
RM014,34,26-35,Male,"Research & Development","Laboratory Technician",2661,2,4,3,3,No,No
RM047,34,26-35,Male,Sales,"Sales Executive",4568,9,3,3,4,No,No
RM085,34,26-35,Male,"Research & Development","Manufacturing Director",4325,5,2,3,3,No,No
RM104,34,26-35,Female,"Research & Development","Research Scientist",4809,16,3,3,3,No,No
RM112,34,26-35,Male,"Research & Development","Laboratory Technician",6074,9,3,3,4,Yes,Yes
RM115,34,26-35,Female,"Research & Development","Research Scientist",4505,1,2,3,3,No,No
RM117,34,26-35,Female,"Research & Development",Manager,11631,11,1,3,3,No,No
RM160,34,26-35,Female,Sales,"Sales Representative",2231,4,3,3,3,No,No
RM182,34,26-35,Female,"Research & Development","Research Scientist",2311,3,2,3,3,No,No
RM189,34,26-35,Male,"Research & Development","Manufacturing Director",9547,10,3,2,3,No,No
RM203,34,26-35,Male,"Research & Development","Research Scientist",3815,5,3,4,3,Yes,No
RM248,34,26-35,Male,"Research & Development","Manufacturing Director",5957,11,1,3,3,No,No
RM379,34,26-35,Male,Sales,"Sales Executive",5304,5,4,2,3,Yes,Yes
RM394,34,26-35,Female,Sales,"Sales Executive",6538,3,3,3,3,No,No
RM416,34,26-35,Female,Sales,"Sales Representative",2351,2,3,2,3,No,Yes
RM433,34,26-35,Male,"Research & Development","Research Scientist",2768,7,3,3,3,No,No
RM441,34,26-35,Female,"Human Resources","Human Resources",9950,3,1,3,3,Yes,Yes
RM463,34,26-35,Male,Sales,"Sales Executive",5337,10,4,3,3,No,No
RM482,34,26-35,Male,"Research & Development","Research Scientist",3622,6,4,3,3,Yes,No
RM495,34,26-35,Female,Sales,"Sales Representative",2579,8,3,3,3,Yes,No
RM504,34,26-35,Male,"Research & Development","Research Scientist",2691,10,4,2,3,No,No
RM525,34,26-35,Female,"Research & Development","Healthcare Representative",8621,8,2,4,3,No,No
RM550,34,26-35,Female,"Research & Development","Healthcare Representative",6142,5,3,3,3,No,No
RM561,34,26-35,Female,"Research & Development","Manufacturing Director",5121,0,1,3,3,No,No
RM568,34,26-35,Male,Sales,"Sales Executive",6274,6,4,3,4,No,No
RM575,34,26-35,Female,"Research & Development","Research Scientist",3280,4,4,3,3,No,No
RM580,34,26-35,Female,"Research & Development","Research Scientist",4381,6,1,3,3,No,No
RM584,34,26-35,Female,Sales,"Sales Executive",6500,3,1,3,3,No,No
RM607,34,26-35,Female,"Research & Development","Research Scientist",2553,5,4,3,3,No,No
RM614,34,26-35,Male,"Human Resources","Human Resources",3737,3,4,1,3,No,No
RM672,34,26-35,Male,"Research & Development","Laboratory Technician",2008,1,2,3,3,No,No
RM758,34,26-35,Male,Sales,"Sales Executive",9725,15,4,2,3,No,No
RM764,34,26-35,Female,Sales,"Sales Representative",2220,1,3,3,3,Yes,No
RM795,34,26-35,Male,"Research & Development","Healthcare Representative",7756,6,4,2,3,No,No
RM804,34,26-35,Male,"Research & Development","Research Scientist",2979,0,4,3,3,No,No
RM823,34,26-35,Male,"Research & Development","Manufacturing Director",4033,3,3,2,3,No,No
RM835,34,26-35,Female,Sales,"Sales Executive",5714,6,3,2,4,No,No
RM848,34,26-35,Male,"Research & Development","Healthcare Representative",5343,13,1,3,4,No,No
RM907,34,26-35,Female,"Research & Development","Research Scientist",2585,1,3,2,3,No,No
RM918,34,26-35,Female,Sales,"Sales Executive",4538,3,1,3,3,Yes,No
RM921,34,26-35,Female,"Research & Development","Laboratory Technician",4444,11,2,4,3,No,No
RM924,34,26-35,Male,"Human Resources","Human Resources",4490,10,2,4,3,No,No
RM959,34,26-35,Male,"Research & Development","Healthcare Representative",8500,9,4,2,3,No,No
RM965,34,26-35,Female,Sales,"Sales Executive",6125,10,1,4,3,No,No
RM978,34,26-35,Female,"Research & Development","Research Scientist",2029,5,3,3,4,No,No
RM980,34,26-35,Male,"Research & Development","Laboratory Technician",5429,8,3,3,3,No,No
RM984,34,26-35,Female,"Research & Development","Healthcare Representative",6687,14,4,4,3,No,No
RM1016,34,26-35,Male,"Research & Development","Research Scientist",2996,4,1,3,3,No,No
RM1028,34,26-35,Female,"Research & Development","Laboratory Technician",3294,5,2,2,3,No,No
RM1040,34,26-35,Female,"Human Resources","Human Resources",2742,2,3,3,3,No,Yes
RM1049,34,26-35,Male,Sales,"Sales Executive",4759,13,1,3,3,No,No
RM1056,34,26-35,Male,"Research & Development","Research Director",17007,14,1,2,3,No,No
RM1059,34,26-35,Female,Sales,"Sales Executive",4599,15,2,4,4,Yes,Yes
RM1085,34,26-35,Male,Sales,"Sales Executive",7083,10,3,3,3,Yes,No
RM1088,34,26-35,Male,Sales,"Sales Representative",2308,11,3,3,4,Yes,No
RM1116,34,26-35,Male,"Research & Development","Research Scientist",2972,1,4,1,3,No,No
RM1118,34,26-35,Male,"Research & Development","Research Scientist",5484,2,4,2,3,No,No
RM1132,34,26-35,Male,"Research & Development","Healthcare Representative",5063,8,3,2,3,No,No
RM1147,34,26-35,Male,"Research & Development","Manufacturing Director",4724,9,4,3,3,No,No
RM1180,34,26-35,Female,"Research & Development","Research Scientist",5433,11,2,3,3,No,No
RM1209,34,26-35,Male,"Research & Development","Laboratory Technician",3986,15,4,4,3,No,No
RM1213,34,26-35,Female,"Research & Development","Research Scientist",2929,10,4,3,3,No,No
RM1253,34,26-35,Male,"Research & Development","Research Scientist",2932,5,4,3,3,Yes,No
RM1268,34,26-35,Male,Sales,"Sales Executive",4001,15,3,3,3,Yes,No
RM1271,34,26-35,Female,Sales,"Sales Executive",6029,2,4,3,3,No,No
RM1291,34,26-35,Male,"Research & Development","Laboratory Technician",5346,7,1,2,3,No,Yes
RM1301,34,26-35,Male,Sales,"Sales Executive",6799,10,3,3,4,No,No
RM1343,34,26-35,Male,Sales,"Sales Executive",9713,5,4,3,3,Yes,No
RM1354,34,26-35,Male,"Research & Development","Research Scientist",2307,5,1,3,4,Yes,Yes
RM1360,34,26-35,Female,Sales,"Sales Executive",8103,4,4,2,3,Yes,No
RM1369,34,26-35,Male,"Research & Development","Research Scientist",5747,15,4,3,3,Yes,No
RM1385,34,26-35,Male,Sales,"Sales Executive",9888,14,4,2,4,No,No
RM1386,34,26-35,Male,Sales,"Sales Executive",8628,8,3,2,3,No,No
RM1447,34,26-35,Female,Sales,"Sales Executive",6712,8,3,3,4,No,No
RM1470,34,26-35,Male,"Research & Development","Laboratory Technician",4404,4,3,4,3,No,No
RM1470,34,26-35,Male,"Research & Development","Laboratory Technician",4404,4,3,4,3,No,No
RM011,35,26-35,Male,"Research & Development","Laboratory Technician",2426,5,2,3,3,No,No
RM038,35,26-35,Female,Sales,"Sales Representative",2014,2,4,3,3,No,No
RM041,35,26-35,Male,"Research & Development","Laboratory Technician",1951,1,4,3,3,No,No
RM050,35,26-35,Male,"Research & Development","Laboratory Technician",2269,1,4,3,3,No,No
RM054,35,26-35,Male,"Research & Development","Healthcare Representative",9884,4,1,3,3,Yes,No
RM057,35,26-35,Male,Sales,"Sales Executive",9069,9,1,2,4,No,No
RM058,35,26-35,Female,"Research & Development","Laboratory Technician",4014,2,1,3,3,Yes,No
RM069,35,26-35,Male,"Research & Development","Research Scientist",2194,3,1,2,3,No,No
RM082,35,26-35,Male,"Research & Development","Research Scientist",2859,6,3,3,3,No,No
RM152,35,26-35,Male,Sales,"Sales Executive",7295,10,2,3,3,No,No
RM193,35,26-35,Male,"Research & Development","Manufacturing Director",5916,1,3,3,3,Yes,Yes
